Composition (A.M.%);S-to-L Ratio (%);Comma gap (µm);Viscosity (Pas);Mass Loading (mg cm-2) ;Porosity (%);
95;65,0244798041616;300;4,31;31,6995350735961;48,6800909453402;
95;65,0244798041616;300;4,31;32,9878431145189;49,2865412210237;
95;65,0244798041616;300;4,31;32,7015524387583;48,7580090297301;
95;65,0244798041616;300;4,31;32,558407100878;49,2106519373736;
95;65,0244798041616;300;4,31;32,2721164251173;48,4374189728732;
95;65,0244798041616;300;4,31;31,9142530804165;49,3409484049993;
95;65,0244798041616;300;4,31;31,5563897357157;48,5705655480229;
95;65,0244798041616;300;4,31;32,128971087237;49,3297856123723;
95;65,0244798041616;400;4,98;42,7932987593206;48,1345406460647;
95;65,0244798041616;400;4,98;43,5090254487222;48,6447181745115;
95;65,0244798041616;400;4,98;43,5090254487222;48,1682775716383;
95;65,0244798041616;400;4,98;42,9364440972009;48,3968427338747;
95;65,0244798041616;400;4,98;42,0059994009788;48,4744333633596;
95;65,0244798041616;400;4,98;42,8648714282607;48,9854685537302;
95;65,0244798041616;400;4,98;40,5745460221757;48,894188780252;
95;65,0244798041616;400;4,98;42,7932987593206;48,3653958063937;
96;68,9227205030614;50;1,71;9,3223752365391;54,9128474015358;
96;68,9227205030614;50;1,71;8,88844000442712;55,6597131551636;
96;68,9227205030614;50;1,71;9,17773015916844;54,2165793278297;
96;68,9227205030614;50;1,71;8,96076254311245;54,3417333321274;
96;68,9227205030614;50;1,71;9,03308508179778;54,9381462414967;
96;68,9227205030614;50;1,71;9,17773015916844;54,2165793278297;
96;68,9227205030614;50;1,71;9,3223752365391;54,4499402906686;
96;68,9227205030614;50;1,71;8,88844000442712;55,6597131551636;
96;68,9227205030614;200;3,54;27,6199775239277;49,7149292788315;
96;68,9227205030614;200;3,54;27,7646226012984;48,7457138476444;
96;68,9227205030614;200;3,54;26,3181718275918;49,7795503831637;
96;68,9227205030614;200;3,54;27,7646226012984;49,4515877196737;
96;68,9227205030614;200;3,54;27,692300062613;50,7145242023359;
96;68,9227205030614;200;3,54;28,1985578334104;49,8135100195633;
96;68,9227205030614;200;3,54;27,3306873691864;50,6194285520661;
96;68,9227205030614;200;3,54;27,692300062613;49,3896458206783;
94;60,0149788463633;75;1,62;8,06624302856114;54,8579308515504;
94;60,0149788463633;75;1,62;8,4203362256007;55,8400333934739;
94;60,0149788463633;75;1,62;8,06624302856114;55,0590091105635;
94;60,0149788463633;75;1,62;8,06624302856114;53,8249315575355;
94;60,0149788463633;75;1,62;8,63279214382444;52,7444560864628;
94;60,0149788463633;75;1,62;8,27869894678488;53,6689386878511;
94;60,0149788463633;75;1,62;8,13706166796905;54,4616001303173;
94;60,0149788463633;75;1,62;8,20788030737697;54,5733969598687;
94;60,0149788463633;200;2,82;19,1847694156033;48,6160614616977;
94;60,0149788463633;200;2,82;19,2555880550112;48,5915064811466;
94;60,0149788463633;200;2,82;19,2555880550112;49,3483086990898;
94;60,0149788463633;200;2,82;18,7598575791558;49,1001739691679;
94;60,0149788463633;200;2,82;18,8306762185637;48,9080266455332;
94;60,0149788463633;200;2,82;19,6804998914587;49,0871588195318;
94;60,0149788463633;200;2,82;19,2555880550112;48,8643753427117;
94;60,0149788463633;200;2,82;20,0345930884982;48,7016206924578;
94;60,0149788463633;300;3,27;28,8869230144872;48,821886945915;
94;60,0149788463633;300;3,27;28,8869230144872;48,1238365883934;
94;60,0149788463633;300;3,27;28,249555259816;49,1223490706643;
94;60,0149788463633;300;3,27;28,1079179810002;48,0688792643539;
94;60,0149788463633;300;3,27;28,3911925386318;48,977459191358;
94;60,0149788463633;300;3,27;28,6036484568555;48,261130655963;
94;60,0149788463633;300;3,27;28,6036484568555;49,3237561594878;
94;60,0149788463633;300;3,27;28,6036484568555;48,7429396111725;
94;60,0149788463633;400;3,78;36,9602479069891;48,5477370478775;
94;60,0149788463633;400;3,78;37,4559783828445;48,4315710777642;
94;60,0149788463633;400;3,78;37,2435224646208;48,7240749287128;
94;60,0149788463633;400;3,78;36,6769733493575;47,4807800827709;
94;60,0149788463633;400;3,78;37,9517088586999;49,1483909060307;
94;60,0149788463633;400;3,78;37,5267970222524;48,3340697941147;
94;60,0149788463633;400;3,78;36,6061547099496;48,7555023150486;
94;60,0149788463633;400;3,78;35,9687869552784;48,1983426186026;
96;66,9076305220884;50;1,36;8,16591227940794;54,5034424603699;
96;66,9076305220884;50;1,36;7,51495381603619;54,9663123512046;
96;66,9076305220884;50;1,36;7,44262509788377;53,2815274417193;
96;66,9076305220884;50;1,36;7,44262509788377;53,5267687674845;
96;66,9076305220884;50;1,36;8,09358356125553;53,2646670571876;
96;66,9076305220884;50;1,36;8,23824099756036;53,9927160413018;
96;66,9076305220884;50;1,36;7,37029637973135;54,6919167891343;
96;66,9076305220884;50;1,36;7,80426868864586;54,2692965898886;
96;66,9076305220884;75;1,64;11,5653620325716;51,0418928333803;
96;66,9076305220884;75;1,64;10,3357738239805;51,5005582269762;
96;66,9076305220884;75;1,64;9,75714407876113;51,5393866324507;
96;66,9076305220884;75;1,64;10,1911163876756;51,6066443414046;
96;66,9076305220884;75;1,64;10,8420748510474;51,055546000367;
96;66,9076305220884;75;1,64;11,3483758781143;51,1785939662022;
96;66,9076305220884;75;1,64;10,4081025421329;50,1784911953593;
96;66,9076305220884;75;1,64;10,5527599784377;51,6272915802059;
96;66,9076305220884;200;2,78;25,5971333541406;49,2105102231749;
96;66,9076305220884;200;2,78;23,1379569369584;48,889396708469;
96;66,9076305220884;200;2,78;25,7417907904454;50,2512233660601;
96;66,9076305220884;200;2,78;25,4524759178357;49,413155849251;
96;66,9076305220884;200;2,78;24,5122025818543;50,0295588794663;
96;66,9076305220884;200;2,78;26,2480918175123;48,6891911953462;
96;66,9076305220884;200;2,78;26,537406690122;48,9623719456774;
96;66,9076305220884;200;2,78;25,3801471996833;48,4809048195706;
96;66,9076305220884;300;3,21;35,2168528684121;48,1865840808899;
96;66,9076305220884;300;3,21;35,8678113317839;48,0323083958274;
96;66,9076305220884;300;3,21;36,0124687680887;48,605221710847;
96;66,9076305220884;300;3,21;36,4464410770032;49,6179356246843;
96;66,9076305220884;300;3,21;35,2891815865645;48,080169178612;
96;66,9076305220884;300;3,21;35,2891815865645;48,3992830742567;
96;66,9076305220884;300;3,21;35,9401400499363;48,1485612425502;
96;66,9076305220884;300;3,21;35,5061677410218;49,0219763855555;
96;66,9076305220884;400;3,71;47,7297211087804;48,3154735005355;
96;66,9076305220884;400;3,71;47,8020498269328;48,7041147423064;
96;66,9076305220884;400;3,71;47,9467072632376;48,3157574035915;
96;66,9076305220884;400;3,71;47,9467072632376;48,292328463158;
96;66,9076305220884;400;3,71;48,01903598139;48,2377905268433;
96;66,9076305220884;400;3,71;46,7171190546465;48,7116362890834;
96;66,9076305220884;400;3,71;47,6573923906279;48,6276249105845;
96;66,9076305220884;400;3,71;46,8617764909514;48,5528242014199;
96;68,7861271676301;300;2,7;38,4710911809933;46,3811173899525;
96;68,7861271676301;300;2,7;37,8924697682316;45,8228236275814;
96;68,7861271676301;300;2,7;37,2415206788747;46,5285854190693;
96;68,7861271676301;300;2,7;37,5308313852555;46,1131928023987;
96;68,7861271676301;300;2,7;37,0968653256842;45,7541603087336;
96;68,7861271676301;300;2,7;37,0968653256842;45,4186882017993;
96;68,7861271676301;300;2,7;38,037125121422;45,386255723225;
96;68,7861271676301;300;2,7;37,3861760320651;45,665066131024;
96;68,7861271676301;400;3,05;47,5120507553948;46,3516936177842;
96;68,7861271676301;400;3,05;47,8736891383708;46,1986946128447;
96;68,7861271676301;400;3,05;47,2950677256091;45,2986133335142;
96;68,7861271676301;400;3,05;48,1629998447517;46,3801267803318;
96;68,7861271676301;400;3,05;47,58437843199;46,2700247086927;
96;68,7861271676301;400;3,05;47,0780846958235;45,8130028066794;
96;68,7861271676301;400;3,05;46,9334293426331;45,9795014921712;
96;68,7861271676301;400;3,05;47,2950677256091;46,0849293852606;
96;72,8508478043506;300;7,88;45,050522784598;44,9437972713573;
96;72,8508478043506;300;7,88;45,629113541183;44,8036903228019;
96;72,8508478043506;300;7,88;44,0379889605743;45,9033678505421;
96;72,8508478043506;300;7,88;44,6165797171593;44,3304190372935;
96;72,8508478043506;300;7,88;43,893341271428;44,7694352893154;
96;72,8508478043506;300;7,88;44,0379889605743;48,3052903436113;
96;72,8508478043506;300;7,88;45,2674943183174;44,1044656870471;
96;72,8508478043506;300;7,88;42,4468643799656;45,3171565717643;
94;64,9919617926612;50;2,7;8,20782375186636;53,7544763178371;
94;64,9919617926612;50;2,7;8,06618744898688;51,9555009358464;
94;64,9919617926612;50;2,7;8,06618744898688;52,4087509270176;
94;64,9919617926612;50;2,7;8,20782375186636;53,4398809186387;
94;64,9919617926612;50;2,7;7,71209669178815;53,844779097835;
94;64,9919617926612;50;2,7;8,20782375186636;54,0648489599993;
94;64,9919617926612;50;2,7;7,92455114610739;54,2162431893563;
94;64,9919617926612;50;2,7;8,06618744898688;52,2962420639609;
94;64,9919617926612;75;3,33;10,9697316580164;51,1702682924757;
94;64,9919617926612;75;3,33;10,9697316580164;49,8312445710628;
94;64,9919617926612;75;3,33;11,3238224152151;51,7408577692194;
94;64,9919617926612;75;3,33;10,9697316580164;51,6008655738471;
94;64,9919617926612;75;3,33;11,0405498094561;53,5025746235748;
94;64,9919617926612;75;3,33;11,2530042637754;50,4384594445417;
94;64,9919617926612;75;3,33;11,2530042637754;50,8709336204183;
94;64,9919617926612;75;3,33;11,3946405666549;50,597438572901;
94;64,9919617926612;100;4;12,74018544401;52,000985589117;
94;64,9919617926612;100;4;12,74018544401;52,2168732101554;
94;64,9919617926612;100;4;13,023458049769;52,5764317544426;
94;64,9919617926612;100;4;12,8110035954497;51,9512638338917;
94;64,9919617926612;100;4;13,023458049769;51,1544357051005;
94;64,9919617926612;100;4;12,8110035954497;51,5883579716099;
94;64,9919617926612;100;4;12,8110035954497;51,9512638338917;
94;64,9919617926612;100;4;12,6693672925703;52,1235889503649;
94;64,9919617926612;300;7,69;35,5436302076077;47,6649006789334;
94;64,9919617926612;300;7,69;34,6938123903307;47,6213661443106;
